——,2015.02,-1,-1,-1
 年改名为首都儿科研究所,1983,-1,首都儿科研究所,-1
 儿童肺炎防治研究及儿童流行性喘憋性肺炎的研究全国儿童哮喘,1964.8,武汉市,-1,-1
母乳喂养,1964.8,武汉市,-1,-1
ORS,1964.8,武汉市,ORS,-1
低出生体重,1964.8,武汉市,-1,-1
维生素A,1964.8,武汉市,-1,-1
K缺乏,1964.8,武汉市,-1,-1
育龄妇女及儿童贫血等多项流行病学调查。曾在中国农村儿童肺炎监测及防治研究,1964.8,中国,-1,-1
 次口服预防效果评价”,2002,-1,-1,-1
“中国儿童维生素A缺乏情况及预防措施”,2002,中国,-1,-1
“,2002,中国,-1,-1
 年北京城区儿童哮喘患病情况调查分析”,2000,北京市,-1,-1
“,2000,北京市,-1,-1
 年中国婴儿辅食添加情况的调查分析”,2000,中国,-1,-1
“,2000,中国,-1,-1
 年中国低出生体重发生率的分布特点及影响因素”,1998,中国,-1,-1
“辅食添加与儿童营养”,1998,中国,-1,-1
“三种干预对婴儿维生素K缺乏出血症预防作用的实验研究”,1998,中国,-1,-1
“中国活产出生体重的影响因素”和《中华预防医学杂志》的“低出生体重影响儿童的今天和未来”,1998,中国,中华预防医学杂志,-1
“中国低出生体重儿抽样调查结果”,1998,中国,-1,-1
“,1998,中国,-1,-1
 年中国活产儿出生体重抽样的调查结果”,1998,中国,-1,-1
“中国低出生体重儿危险因素的病例对照研究”,1998,中国,-1,-1
中华儿童保健杂志专家评委,1998,中国,中华儿童保健杂志专家评委,-1
 获中医医学学士学位,1978.10-1983.07,辽宁省,-1,-1
湘潭大学高教自考行政管理学专业毕业,1998.06,湘潭市湘潭县,湘潭大学,-1
 获管理学学士学位；,1998.06,湘潭市湘潭县,-1,-1
部队战士,1976.01-1983.07,-1,-1,战士
-,2014.01,-1,-1,-1
对钢管,2009.4,-1,-1,-1
硅钢的制造工艺技术管理具有较丰富的经验,2009.4,-1,硅钢,-1
 其间,1987.09-1998.09,重庆市,-1,-1
 在重庆市委信访办挂职,2006.05,重庆市,重庆市委信访办,-1
